versionOrder,versionPageStart,versionPageEnd,date,pageCount,title,documentType,sourceClass,lane,matches,sourceUrl,pdfUrl,sourceNote
94,481,487,1997-06-13,7,NATO Enlargement -- U.S. Decision on New Members,Cable,clinton-library-mdr,whether/whom/when,nato-expansion; invitation-round,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 155-161."
95,488,492,1997-06-23,5,Achieving Allied Consensus on NATO Enlargement: Whether to Set a Date or Name Names for the Second Round,Presidential information memorandum,clinton-library-mdr,whether/whom/when,nato-expansion; invitation-round; open-door-map,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 488-492. Confidential."
96,493,495,1997-06-26,3,Prime Minister Drnovsek to President Clinton on Slovenia and NATO Enlargement,Foreign leader letter,clinton-library-mdr,how/process,nato-expansion; invitation-round,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 261-263."
97,496,505,1997-07-24,10,The President's Working Lunch with President Roman Herzog of Germany,Memorandum of conversation,clinton-library-mdr,future rounds/open door,open-door-map,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 274-283. Confidential."
98,506,509,1997-12-17,4,Strategy for Completing Ratification of NATO Enlargement,Presidential action memorandum,clinton-library-mdr,how/process,nato-expansion; ratification-accession,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 303-306."
99,510,512,1998-01-21,3,NATO's Open Door Policy,Issue paper,clinton-library-mdr,future rounds/open door,nato-expansion; open-door-map,https://clinton.presidentiallibraries.us/items/show/49412,https://clinton.presidentiallibraries.us/files/original/2f760ad25ed4dba1ca8256c93c6cf7f0.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2013-0804-M, Clinton Digital Library PDF pages 27-29. Confidential."
100,513,514,1998-01-22,2,Ratification of NATO Enlargement,Issue paper,clinton-library-mdr,how/process,nato-expansion; ratification-accession,https://clinton.presidentiallibraries.us/items/show/49412,https://clinton.presidentiallibraries.us/files/original/2f760ad25ed4dba1ca8256c93c6cf7f0.pdf,"Source: Clinton Presidential Records, White House Staff and Office Files, Mandatory Declassification Review 2013-0804-M, Clinton Digital Library PDF pages 19-20. Confidential."
101,515,519,1998-02-09,5,"Committee to Expand NATO Dinner IHO Polish, Czech and Hungarian Foreign Ministers",NSC information memorandum,clinton-library-mdr,how/process,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 527-531. Confidential."
102,520,523,1998-07-09,4,DEPUTY SECRETARY DISCUSSES NATO ENLARGEMENT AND KOSOVO WITH DANISH DEFMIN,TE,state-foia,core expansion policy,nato-expansion,https://foia.state.gov/DOCUMENTS/FOIA_L_Jul2021_C/F-2017-13804/DOC_0C06771955/C06771955.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jul2021_C/F-2017-13804/DOC_0C06771955/C06771955.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06771955. UNSPECIFIED IN SOURCE."
103,524,526,1998-09-14,3,Meeting with President Vaclav Havel of the Czech Republic,Secretary of State memorandum to the President,clinton-library-mdr,future rounds/open door,nato-expansion; open-door-map; candidate-membership,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2024-0540-M.pdf,"Source: Clinton Presidential Records, Mandatory Declassification Review 2024-0540-M, Clinton Library PDF pages 3-5. Confidential."
104,527,530,1998-09-15,4,Summary Points to Be Made for Meeting with Czech President Havel,Presidential talking points,clinton-library-mdr,future rounds/open door,open-door-map; candidate-membership,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-02/2015-0773-M.pdf,"Source: Clinton Presidential Records, NSC Records Management, [Havel and Telcons], Mandatory Declassification Review 2015-0773-M, Clinton Library PDF pages 138-140 and 142. Secret; President has seen; page 141 is a duplicate/incomplete packet copy and is omitted."
